,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,2,2,3,3,2,1,2,3,2,3,2,3,3,2,3,2,3,2,3,3,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,,21,,21,,21,,21,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,,,,,,21,,21,,21,,21,,21,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,21,,,21,,,21,,21,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,21,3
,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,,,,,,,21,,,,,,,,,21,,,,,,,,,21,,,,,2,,,,,,,,,,,,,,,,21,,,,,21,,,,,,,,,21,,,,,,,,21,,,,2
,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,21,,,,21,,,3
,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,21,,,21,,,21,,,,,21,,,21,,21,,,21,,21,,,,,21,,,21,,,,40,,,,,3
,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,21,,,21,,,21,,,,21,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,3
,,,,,,,,,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,30,,,30,,,,,30,,21,,,30,,,21,,,,21,,,30,,,,,21,3
1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,,,,,,,,,,,,,,,30,,,,,,,,30,,,,,,,,30,,,,,,,,30,2,2,2,2,3,2,3,2,2,3,3,2,3,3,2,3,3,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,2,3,3,3,2,3,2,3,2,3,3,2
